program_number,program_name_short,grade_band,management_type,category,swing,swing_building_number,lon,lat
4,Steuart Hill E,E,Traditional,E,FALSE,NA,-76.64257488436071,39.28685259531324
7,Cecil E,E,Traditional,E,FALSE,NA,-76.60529508220614,39.313340445975534
8,City Springs EM,EM,Charter-Conversion,EM,FALSE,NA,-76.59720791625686,39.28933684942186
10,James McHenry EM,EM,Traditional,EM,FALSE,NA,-76.6334842195414,39.287461601758395
11,Eutaw-Marshburn E,E,Traditional,E,FALSE,NA,-76.6299435515542,39.306613055745466
12,Lakeland EM,EM,Traditional,EM,FALSE,NA,-76.64521143223355,39.25352786249678
13,Tench Tilghman EM,EM,Traditional,EM,FALSE,NA,-76.58526755301519,39.298025986597096
15,Stadium School M,M,Traditional,M,FALSE,NA,-76.60243677981178,39.321913783804874
16,Johnston Sq E,E,Traditional,E,FALSE,NA,-76.60475401346258,39.303572688025476
21,Hilton E,E,Traditional,E,FALSE,NA,-76.67324926488969,39.319074517719315
22,George Washington E,E,Traditional,E,FALSE,NA,-76.62903043476484,39.28102430861792
23,Wolfe Street E,E,Charter-Conversion,E,FALSE,NA,-76.58981680585508,39.28797418440867
27,Com. John Rodgers EM,EM,Traditional,EM,FALSE,NA,-76.58784870356358,39.29354787760257
28,Sandtown-Winchester EM,EM,Traditional,EM,FALSE,NA,-76.6406074958893,39.30636550831723
29,Matthew A. Henson E,E,Traditional,E,FALSE,NA,-76.64997780786955,39.30699556711169
34,Charles C. Barrister E,E,Traditional,E,FALSE,NA,-76.63611183892276,39.279898712139904
35,Harlem Park EM,EM,Traditional,EM,FALSE,NA,-76.6413028706126,39.29794137859433
37,Harford Heights E,E,Traditional,E,FALSE,NA,-76.59418171070737,39.31321902434488
39,Dallas F. Nicholas E,E,Traditional,E,FALSE,NA,-76.61377179283792,39.31280713256752
44,Montebello EM,EM,Traditional,EM,TRUE,93,-76.58545188783631,39.32806769664712
45,Federal Hill Prep E,E,Traditional,E,FALSE,NA,-76.61117040595458,39.27760116956009
47,Hampstead Hill EM,EM,Charter-Conversion,EM,FALSE,NA,-76.5762416534762,39.28602467849572
50,Abbottston E,E,Traditional,E,FALSE,NA,-76.5994626370583,39.32499477853127
51,Waverly EM,EM,Traditional,EM,FALSE,NA,-76.60540591422365,39.33006302034188
53,Margaret Brent EM,EM,Traditional,EM,FALSE,NA,-76.61534794073738,39.31968688689826
54,Barclay EM,EM,Traditional,EM,FALSE,NA,-76.61135891272384,39.323765248861704
55,Hampden EM,EM,Traditional,EM,FALSE,NA,-76.62973895899265,39.332165270902124
58,Dr. N. A. Pitts-Ashburton EM,EM,Traditional,EM,FALSE,NA,-76.66777071986905,39.33095712930778
60,Gwynns Falls E,E,Traditional,E,FALSE,NA,-76.663732066665,39.315075195251595
61,D.I. Height E,E,Traditional,E,FALSE,NA,-76.63268284269661,39.31141022161523
62,Park Heights Academy,E,Traditional,E,FALSE,NA,-76.6622389449429,39.34472397327705
63,Rosemont EM,EM,Traditional,EM,FALSE,NA,-76.66300409781125,39.304452545136655
64,Liberty E,E,Traditional,E,FALSE,NA,-76.6832425434416,39.32608727677675
66,Mount Royal EM,EM,Traditional,EM,FALSE,NA,-76.62455210500289,39.30903499942492
67,Edgewood E,E,Traditional,E,FALSE,NA,-76.6761518852117,39.30906259259876
75,Katherine Johnson Global Academy,EM,Traditional,EM,FALSE,NA,-76.65862034719385,39.30036172246766
76,F. S. Key EM,EM,Traditional,EM,FALSE,NA,-76.59510559136939,39.26839527627119
81,North Bend EM,EM,Traditional,EM,FALSE,NA,-76.70530129685774,39.28346147540253
83,William Paca E,E,Traditional,E,FALSE,NA,-76.57965519209881,39.29541452026912
84,Thomas Johnson EM,EM,Traditional,EM,FALSE,NA,-76.6110026055059,39.27084513320298
85,Ft Worthington EM,EM,Traditional,EM,FALSE,NA,-76.57856814245244,39.307269272698264
86,Lakewood ELC,Other,Traditional,E,FALSE,NA,-76.58090780427383,39.30874065391211
87,Windsor Hills EM,EM,Traditional,EM,FALSE,NA,-76.6828589187563,39.31650304985965
88,Wildwood EM,EM,Traditional,EM,FALSE,NA,-76.68353282869161,39.294826309467155
95,Franklin Sq EM,EM,Traditional,EM,FALSE,NA,-76.64088413807895,39.29109658522908
97,Collington Square EM,EM,Traditional,EM,FALSE,NA,-76.58682743503708,39.307092200370114
105,Moravia Park E,E,Traditional,E,FALSE,NA,-76.54064629025943,39.31961501852934
122,Samuel Coleridge-Taylor E,E,Traditional,E,FALSE,NA,-76.62642618499133,39.29881700029844
124,Bay-Brook EM,EM,Traditional,EM,FALSE,NA,-76.59829618385923,39.22544131348569
125,Furman Templeton Prep E,E,Charter-Conversion,E,FALSE,NA,-76.63027217424822,39.29964865932976
130,Booker T. Washington M,M,Traditional,M,FALSE,NA,-76.62815537678479,39.30307826009625
134,W. P. Carter EM,EM,Traditional,EM,FALSE,NA,-76.60404148954609,39.34283394196323
142,Robert W. Coleman E,E,Traditional,E,FALSE,NA,-76.6552092668567,39.312843495104595
144,Billie Holiday E,E,Traditional,E,FALSE,NA,-76.65577501427052,39.29985604646675
150,Mary Ann Winterling E,E,Traditional,E,FALSE,NA,-76.65308545489926,39.29089828075623
159,Cherry Hill EM,EM,Traditional,EM,FALSE,NA,-76.62414253328198,39.2477901150847
164,Arundel E,E,Traditional,E,FALSE,NA,-76.6281115247618,39.251778673749314
177,McMechen H,H,Separate public day,H Sp Ed,FALSE,NA,-76.68415376440184,39.33751658304634
178,Excel Academy MH,H,Alternative,AOP,FALSE,NA,-76.63436934610485,39.292322799707335
201,Dickey Hill EM,EM,Traditional,EM,FALSE,NA,-76.70343292692041,39.31146571711314
203,Maree G. Farring EM,EM,Traditional,EM,FALSE,NA,-76.60721046233624,39.237040801513395
204,Mary E. Rodman E,E,Traditional,E,FALSE,NA,-76.6766359533589,39.2919863431396
205,Woodhome EM,EM,Traditional,EM,FALSE,NA,-76.54060144199302,39.366423671963304
206,Furley E,E,Traditional,E,TRUE,170,-76.55233655546806,39.32872790895288
207,Curtis Bay E,E,Traditional,E,FALSE,NA,-76.59312382927844,39.226182652818196
210,Hazelwood EM,EM,Traditional,EM,FALSE,NA,-76.53864168475074,39.33873568645456
211,Gardenville E,E,Traditional,E,FALSE,NA,-76.55285448022383,39.33883089297071
212,Garrett Heights EM,EM,Traditional,EM,FALSE,NA,-76.5697656271568,39.3493430714897
213,Govans E,E,Charter-Conversion,E,FALSE,NA,-76.60848261298132,39.36049213436186
215,Highlandtown 215 EM,EM,Traditional,EM,FALSE,NA,-76.570522391905385,39.2898838794766
217,Belmont E,E,Traditional,E,FALSE,NA,-76.6710141872844,39.30373056070666
219,Yorkwood E,E,Traditional,E,FALSE,NA,-76.58410268644502,39.36263482765844
220,Morrell Park EM,EM,Traditional,EM,FALSE,NA,-76.65064441550321,39.26314225824433
221,Mt. Washington EM,EM,Traditional,EM,FALSE,NA,-76.65499363492088,39.365983381814594
223,Pimlico EM,EM,Charter,EM,FALSE,NA,-76.66746954576227,39.34771072869247
225,Westport EM,EM,Traditional,EM,FALSE,NA,-76.63792902446049,39.26228954852291
226,Violetville EM,EM,Traditional,EM,FALSE,NA,-76.67401583211787,39.26785346036596
228,John Ruhrah EM,EM,Traditional,EM,FALSE,NA,-76.55234139584904,39.284006372933625
229,Holabird Academy,EM,Traditional,EM,FALSE,NA,-76.53851524904098,39.276076046821686
231,Belair-Edison EM,EM,Charter-Conversion,EM,FALSE,NA,-76.56614181536722,39.321238657954574
232,T. Jefferson EM,EM,Traditional,EM,FALSE,NA,-76.6981271883144,39.29550842308603
233,Roland Park EM,EM,Traditional,EM,FALSE,NA,-76.63421220589032,39.35749726084509
234,Arlington E,E,Traditional,E,FALSE,NA,-76.68438725323261,39.350350954622115
235,Glenmount EM,EM,Traditional,EM,FALSE,NA,-76.54143019043273,39.35245452512018
236,Hamilton EM,EM,Traditional,EM,FALSE,NA,-76.55775703300021,39.359856347032874
237,Highlandtown 237 EM,EM,Traditional,EM,TRUE,255,-76.56524584919454,39.28897813448048
239,Ben Franklin H,H,Traditional,H,FALSE,NA,-76.5936040928109,39.232716673121075
240,Graceland Park/O'Donnell Hghts EM,EM,Traditional,EM,FALSE,NA,-76.53992926783499,39.28205684397882
241,Fallstaff EM,EM,Traditional,EM,FALSE,NA,-76.70575824466029,39.36244460329532
242,Northwood E,E,Traditional,E,FALSE,NA,-76.5894727065535,39.35279102448559
243,Armistead Gardens EM,EM,Traditional,EM,FALSE,NA,-76.55267596217614,39.3048749431316
245,Leith Walk EM,EM,Traditional,EM,FALSE,NA,-76.59177766502307,39.36544906095278
246,Beechfield EM,EM,Traditional,EM,FALSE,NA,-76.6936734720453,39.28071104426113
247,Cross Country EM,EM,Traditional,EM,TRUE,401,-76.6881368091266,39.362475689929184
248,Sinclair Lane E,E,Traditional,E,FALSE,NA,-76.56062245126522,39.31497341088679
249,Medfield Heights E,E,Traditional,E,FALSE,NA,-76.64263519557078,39.341104952244905
250,Dr. Bernard Harris E,E,Traditional,E,FALSE,NA,-76.59840295264965,39.30667862387671
251,Callaway E,E,Traditional,E,FALSE,NA,-76.6780367014282,39.336632025085805
256,Calvin M. Rodwell EM,EM,Traditional,EM,FALSE,NA,-76.69422710713421,39.330202287214924
260,Frederick E,E,Charter-Conversion,E,FALSE,NA,-76.65691784560525,39.28242930191248
262,Empowerment Acad. EM,EM,Charter,EM,FALSE,NA,-76.65922458022196,39.29761270789209
301,William S. Baer EMH,EMH,Separate public day,EMH Sp Ed,FALSE,NA,-76.65683081625437,39.31094631766464
303,Home + Hospital,EMH,Alternative,na,FALSE,NA,-76.67673378646343,39.3102342488142
307,Claremont MH,MH,Separate public day,MH Sp Ed,FALSE,NA,-76.55455088765504,39.30299337868583
313,Lois T. Murray EM,EM,Separate public day,EM Sp Ed,FALSE,NA,-76.60404148954609,39.34283394196323
314,Sharp-Leadenhall EM,EM,Separate public day,EM Sp Ed,FALSE,NA,-76.59418171070737,39.31321902434488
321,Midtown Acad. EM,EM,Charter,EM,FALSE,NA,-76.62206983716285,39.308009581306166
322,New Song Acad. EM,EM,Charter,EM,FALSE,NA,-76.64280811753827,39.30564597209411
323,Crossroads M,M,Charter,M,FALSE,NA,-76.59663036166377,39.282314691025796
325,ConneXions MH,MH,Charter,MH,FALSE,NA,-76.66311742174953,39.31978980922343
326,City Neighbors Charter EM,EM,Charter,EM,FALSE,NA,-76.53448150903584,39.34883569163701
327,Patterson Park Public Charter EM,EM,Charter,EM,FALSE,NA,-76.5789565277045,39.29243137669212
328,Southwest Balt. Charter EM,EM,Charter,EM,FALSE,NA,-76.63685559929444,39.28225229558824
332,The Green School E,E,Charter,E,FALSE,NA,-76.57178405232274,39.324346110381136
333,Independence H,H,Charter,H,FALSE,NA,-76.63749725836298,39.33102541839703
335,BIA East EM,EM,Charter,EM,FALSE,NA,-76.5489252598153,39.33587582151421
336,Balt. Montessori EM,EM,Charter,EM,FALSE,NA,-76.61230455705373,39.307304162510235
341,The Reach! H,H,Transformation,H,FALSE,NA,-76.59290654657194,39.31773605930061
345,Joseph Briscoe Academy MH,MH,Separate public day,MH Sp Ed,FALSE,NA,-76.62464917640924,39.29841022527943
346,City Neighbors Hamilton EM,EM,Charter,EM,FALSE,NA,-76.55470915649668,39.3505774902718
347,KIPP Harmony Acad. EM,EM,Charter,EM,FALSE,NA,-76.67614348927947,39.31025847784
348,BLSYW MH,MH,Charter,MH,FALSE,NA,-76.61802067113969,39.29521758187064
362,Bard H,H,Contract,H,FALSE,NA,-76.66380879399881,39.32033491530871
364,BDJ West MH,MH,Traditional,MH,FALSE,NA,-76.64111431849399,39.29693066339722
368,Elmer A. Henderson EM,EM,Contract,EM,FALSE,NA,-76.58796938102635,39.300793469059585
371,L. M. C. Jackson School EM,EM,Charter,EM,FALSE,NA,-76.58704749254917,39.314638838883795
373,Tunbridge EM,EM,Charter,EM,FALSE,NA,-76.61044832142284,39.35750040568972
374,Vanguard M,M,Traditional,M,TRUE,170,-76.55172420502909,39.32452640212764
375,Balt. Collegiate EM,EM,Charter,EM,FALSE,NA,-76.60056012808636,39.31960322740571
376,City Neighbors H,H,Charter,H,FALSE,NA,-76.55502852658839,39.350429400230645
377,Green St Acad. MH,MH,Charter,MH,FALSE,NA,-76.67185925962526,39.28801274350807
382,BDS MH,MH,Transformation,MH,FALSE,NA,-76.61094261163912,39.3075295676039
384,Creative City E,E,Charter,E,FALSE,NA,-76.66504987917827,39.33373912396485
385,BIA West EM,EM,Charter,EM,FALSE,NA,-76.69265677276132,39.298304120843945
386,Clay Hill EM,E,Charter,E,FALSE,NA,-76.53937167918738,39.291075407818276
400,Edmondson H,H,Traditional,H,FALSE,NA,-76.68854241911913,39.29235373379072
403,Poly H,H,Traditional,H,FALSE,NA,-76.64417075935042,39.346148662206105
405,Patterson H,H,Traditional,H,FALSE,NA,-76.53670928643574,39.29252720820523
406,Forest Park H,H,Traditional,H,FALSE,NA,-76.68973750487403,39.33274296788631
407,Western H,H,Traditional,H,FALSE,NA,-76.6424548188292,39.34645216132818
410,Mer-Vo H,H,Traditional,H,FALSE,NA,-76.5906117716971,39.33214034628492
413,Achievement Acad. H,H,Alternative,AOP,FALSE,NA,-76.57142105066154,39.36607979280184
414,Dunbar H,H,Traditional,H,FALSE,NA,-76.59843755700581,39.29552138862569
415,School for the Arts H,H,Traditional,H,FALSE,NA,-76.61740844311457,39.29806511846652
416,Digital Harbor H,H,Traditional,H,FALSE,NA,-76.60731025568391,39.276607567496335
419,Reginald F. Lewis H,H,Traditional,H,FALSE,NA,-76.5712165295573,39.36540072067237
421,NAF MH,MH,Traditional,MH,FALSE,NA,-76.59789041891725,39.29694180693152
422,New Era Academy H,H,Traditional,H,FALSE,NA,-76.62136220472404,39.2531719542695
427,ACCE MH,MH,Traditional,MH,FALSE,NA,-76.63785219344913,39.33059399529751
429,Vivien T. H,H,Traditional,H,FALSE,NA,-76.63996729673798,39.290193522079456
430,Augusta Fells H,H,Traditional,H,FALSE,NA,-76.6416103086489,39.296915612376594
432,Coppin Acad. H,H,Charter,H,FALSE,NA,-76.65739215855058,39.312983367055246
433,Renaissance Acad. H,H,Traditional,H,FALSE,NA,-76.62764807964177,39.30335641617033
450,Frederick Douglass H,H,Traditional,H,FALSE,NA,-76.65493801989432,39.31493045453479
454,Carver H,H,Traditional,H,FALSE,NA,-76.65329304078331,39.30482767955707
480,City College H,H,Traditional,H,FALSE,NA,-76.596802054287,39.32609495184727
729,AYD Leadership Academy,M,Alternative,na,FALSE,NA,-76.66284868171572,39.320649331406145
734,EM Alternative Program,EM,Alternative,na,TRUE,93,-76.55995909306314,39.36616016722446
854,Career Academy,H,Alternative,na,TRUE,78,-76.61860273555274,39.31616147607233
855,Success Academy,H,Alternative,na,FALSE,NA,-76.57173306778922,39.366582662892135
858,Youth Opportunity,H,Alternative,na,FALSE,NA,-76.6425464090701,39.29908105077998
884,Eager Street Academy,H,Alternative,na,FALSE,NA,-76.60814111835302,39.30061452530902
